verb,agency,power,verb_prep,prep,lemma
abandons,agency_pos,power_agent,abandons,,abandon
abolishes,agency_pos,power_agent,abolishes,,abolish
absorbs,agency_pos,power_agent,absorbs,,absorb
abuses,agency_pos,power_agent,abuses,,abuse
accelerates,agency_pos,power_agent,accelerates,,accelerate
accepts,agency_neg,power_agent,accepts,,accept
accesses,agency_equal,power_agent,accesses,,access
accommodates,agency_pos,power_equal,accommodates,,accommodate
accompanies,agency_equal,power_theme,accompanies,,accompany
accomplishes,agency_pos,power_equal,accomplishes,,accomplish
accords,agency_pos,power_agent,accords,,accord
accounts,agency_equal,power_agent,accounts,,account
accumulates,agency_equal,power_agent,accumulates,,accumulate
accuses,agency_pos,power_agent,accuses,,accuse
aches,agency_neg,,aches,,ache
achieves,agency_pos,power_theme,achieves,,achieve
acknowledges,agency_neg,power_agent,acknowledges,,acknowledge
acquaints,agency_pos,power_agent,acquaints,,acquaint
acquires,agency_pos,power_agent,acquires,,acquire
acquits,agency_pos,power_agent,acquits,,acquit
activates,agency_pos,power_agent,activates,,activate
acts,agency_pos,,acts,,act
adapts,agency_pos,power_agent,adapts,,adapt
addresses,agency_neg,power_equal,addresses,,address
adds,agency_pos,power_agent,adds,,add
adjoins,agency_pos,power_agent,adjoins,,adjoin
adjusts,agency_pos,power_agent,adjusts,,adjust
administers,agency_pos,power_agent,administers,,administer
admires,agency_equal,power_theme,admires,,admire
admits,agency_pos,power_theme,admits,,admit
adopts,agency_pos,power_agent,adopts,,adopt
adores,agency_equal,power_theme,adores,,adore
adorns,agency_pos,power_theme,adorns,,adorn
advances,agency_pos,power_agent,advances,,advance
advertises,agency_equal,power_agent,advertises,,advertise
advises,agency_pos,power_agent,advises,,advise
advocates,agency_pos,power_equal,advocates,,advocate
affects,agency_pos,power_agent,affects,,affect
affirms,agency_pos,power_agent,affirms,,affirm
affixes,agency_pos,power_agent,affixes,,affix
affords,agency_equal,power_agent,affords,,afford
ages,agency_neg,,ages,,age
aggravates,agency_pos,power_theme,aggravates,,aggravate
agonizes,agency_neg,,agonizes,,agonize
agonizes,agency_equal,power_theme,agonizes over,over,agonize
agrees,agency_equal,,agrees,,agree
agrees,agency_pos,power_equal,agrees on,on,agree
aids,agency_pos,power_agent,aids,,aid
aims,agency_pos,power_equal,aims,,aim
alarms,agency_pos,power_agent,alarms,,alarm
alerts,agency_pos,power_agent,alerts,,alert
alleges,agency_pos,power_agent,alleges,,allege
allows,agency_pos,power_agent,allows,,allow
alters,agency_pos,power_agent,alters,,alter
ambles,agency_pos,,ambles,,amble
amends,agency_pos,power_agent,amends,,amend
amuses,agency_pos,power_theme,amuses,,amuse
analyzes,agency_neg,power_equal,analyzes,,analyze
anchors,agency_pos,power_agent,anchors,,anchor
angers,agency_equal,power_equal,angers,,anger
angles,agency_equal,,angles,,angle
animates,agency_equal,power_equal,animates,,animate
announces,agency_pos,power_theme,announces,,announce
annoys,agency_pos,power_agent,annoys,,annoy
answers,agency_equal,power_theme,answers,,answer
anticipates,agency_pos,power_equal,anticipates,,anticipate
apologizes,agency_pos,power_theme,apologizes,,apologize
apologizes,agency_pos,power_theme,apologizes to,to,apologize
